Khu vực, Dân số (người) ,,
Quận 1,205180 ,,
Quận 3,196433 ,,
Quận 4,203060 ,,
Quận 5,187510 ,,
Quận 7,324620 ,,
Quận Bình Thạnh,490618 ,,
Quận Phú Nhuận,182477 ,,
