Dia diem,lat,lon,Traffic
Truong THCS Ngo Quyen,10.79461919,106.6496171,Yes
Cho Hoang Hoa Tham,10.79844482,106.6469563,Yes
Truong Tieu hoc CMT8,10.79411332,106.6509045,Yes
Nut giao lon,10.79301726,106.6531254,Yes
Duong Xuan Hong ,10.79563982,106.653725,No
Duong Ut Tich,10.79972166,106.6578563,No
Duong Hoang Van Thu,10.79682411,106.6571731,No
